horse_id,encoded_id
2018106541,0
2018103708,1
2018103805,2
2018101171,3
2018103832,4
2018102256,5
2018100550,6
2018103271,7
2018104362,8
2018104056,9
2018102289,10
2018103366,11
2018100256,12
2018103045,13
2018102803,14
2018106592,15
2018104708,16
2018110132,17
2018102097,18
2018101623,19
2018102382,20
2018100439,21
2018101554,22
2018104670,23
2018106236,24
2018102101,25
2018102083,26
2018103330,27
2018102779,28
2018104096,29
2018104720,30
2018102224,31
2018102938,32
2018104611,33
2018103858,34
2018101305,35
2018106428,36
2018102714,37
2018104120,38
2018101764,39
2018103378,40
2018110022,41
2018101897,42
2017104921,43
2017100035,44
2017101057,45
2017100277,46
2017101910,47
2017103142,48
2017102848,49
2017105209,50
2017104803,51
2016106501,52
2017101516,53
2014106348,54
2017104947,55
2017105178,56
2017102518,57
2018101071,58
2018106756,59
2018100491,60
2018102158,61
2018100139,62
2018102180,63
2018101771,64
2018106273,65
2018104843,66
2018102805,67
2018103224,68
2018101566,69
2018101360,70
2018101249,71
2018104478,72
2018102439,73
2018105831,74
2018104893,75
2018105269,76
2018100681,77
2018105162,78
2018106795,79
2018104698,80
2018105050,81
2018104911,82
2018110086,83
2018103653,84
2017103942,85
2017102175,86
2014105509,87
2017101323,88
2016100757,89
2015102164,90
2017102892,91
2015105399,92
2013102025,93
2016105007,94
2015101512,95
2016104023,96
2014109151,97
2015105056,98
2016100047,99
2017110122,100
2017101830,101
2017103482,102
2016101049,103
2016105815,104
2015101243,105
2015104493,106
2016100467,107
2017110136,108
2016102081,109
2015101034,110
2017101751,111
2017104766,112
2015102071,113
2014101340,114
2016102617,115
2014105309,116
2015104321,117
2017103862,118
2015100659,119
2014102153,120
2014105599,121
2016104992,122
2016104580,123
2015110100,124
2011106544,125
2015104271,126
2014103584,127
2014102200,128
2014101156,129
2015100548,130
2014101436,131
2014102730,132
2018105349,133
2018105308,134
2018102961,135
2018104996,136
2018103018,137
2018104982,138
2018101001,139
2018104523,140
2018104460,141
2018105667,142
2018110118,143
2018102366,144
2016104877,145
2017105508,146
2014100208,147
2016105802,148
2015100969,149
2014102157,150
2016104451,151
2013102679,152
2013105646,153
2015103627,154
2014104449,155
2016100272,156
2016102929,157
2017102170,158
2015102214,159
2016100723,160
2017110026,161
2016100706,162
2016103323,163
2016104035,164
2017105589,165
2014104031,166
2016104919,167
2014102449,168
2014105476,169
2015104299,170
2013110085,171
2015100644,172
2015104202,173
2017102037,174
2018106211,175
2018106492,176
2018101178,177
2018102331,178
2018106326,179
2018105271,180
2018102644,181
